code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,
012201,01,0122,,2,Excavación manual en pozo para cimentaciones,,,,1.000,5.15,8,m3,,
O01OA070,,,012201,4,Peón ordinario,,,1,1.553,,1.553,h,20.10,
012202,01,0122,,2,Excavación con medios mecánicos en pozo para cimentaciones,,,,1.000,23.53,8,m3,,
MAQ0115,,,012202,5,Retroexcavadora hidráulica sobre neumáticos. de 115 kW,,,1,0.340,,,h,54.36,
O01OA070,,,012202,4,Peón ordinario,,,0.76,0.260,,,h,20.10,
01003,01,0121,,2,Excavación manual en zanja  para cimentaciones,,,,1.000,4.74,8,m3,,
O01OA070,,,01003,4,Peón ordinario,,,1,1.688,,,h,20.10,
01004,01,0121,,2,Excavación con medios mecánicos en zanja  para cimentaciones,,,,1.000,21.05,8,m3,,
MAQ0115,,,01004,5,Retroexcavadora hidráulica sobre neumáticos. de 115 kW,,,1,0.380,,,h,54.36,
O01OA070,,,01004,4,Peón ordinario,,,0.66,0.250,,,h,20.10,
041101,04,0411,,2,Zapata de cimentación de hormigón armado,,,,1.000,19.05,8,m3,,
MAT0001,,,04001,3,Separador homologado para cimentaciones.,,,,8.000,,,u,0.15,
MAT0002,,,041101,3,Ferralla elaborada en taller industrial con acero en barras corrugadas. UNE-EN 10080 B 500 S. de varios diámetros.,,,,50.000,,,kg,1.60,
MAT0003,,,041101,3,Alambre galvanizado para atar. de 1.30 mm de diámetro.,,,,0.200,,,kg,1.50,
MAT0004,,,041101,3,Hormigón HA-25/F/20/XC2. fabricado en central.,,,,1.100,,,m3,80.88,
O01OA080,,,041101,4,Oficial 1ª ,,,0.31,0.130,,,h,22.27,
O01OA070,,,041101,4,Peón ordinario,,,1,0.420,,,h,21.15,
,,,041101,7,Zapata de cimentación de hormigón armado. realizada con hormigón HA-25/F/20/XC2 fabricado en central. y vertido desde camión. y acero UNE-EN 10080 B 500 S. con una cuantía aproximada de 50 kg/m3. Incluso armaduras de espera del pilar. alambre de atar. y separadores. El precio incluye la elaboración de la ferralla (corte. doblado y conformado de elementos) en taller industrial y el montaje en el lugar definitivo de su colocación en obra. pero no incluye el encofrado.,,,,,,,,,
041401,04,0414,,2,Zapata corrida de cimentación de hormigón armado.,,,,1.000,19.51,8,m3,,
MAT0001,,,041401,3,Separador homologado para cimentaciones.,,,,7.000,,,u,0.15,
MAT0002,,,041401,3,Ferralla elaborada en taller industrial con acero en barras corrugadas. UNE-EN 10080 B 500 S. de varios diámetros.,,,,100.000,,,kg,1.60,
MAT0003,,,041401,3,Alambre galvanizado para atar. de 1.30 mm de diámetro.,,,,0.400,,,kg,1.50,
MAT0004,,,041401,3,Hormigón HA-25/F/20/XC2. fabricado en central.,,,,1.100,,,m3,80.88,
O01OA080,,,041401,4,Oficial 1ª ,,,0.51,0.210,,,h,22.27,
O01OA070,,,041401,4,Peón ordinario,,,1,0.410,,,h,21.15,
,,,041401,7,Zapata corrida de cimentación. de hormigón armado. realizada en excavación previa. con hormigón HA-25/F/20/XC2 fabricado en central. y vertido desde camión. y acero UNE-EN 10080 B 500 S. con una cuantía aproximada de 100 kg/m3. Incluso armaduras de espera de los pilares u otros elementos. alambre de atar. y separadores. El precio incluye la elaboración de la ferralla (corte. doblado y conformado de elementos) en taller industrial y el montaje en el lugar definitivo de su colocación en obra. pero no incluye el encofrado.,,,,,,,,,
311201,31,3112,,2,Sistema de encofrado para zapata corrida de cimentación.,,,,1.000,24.62,8,m2,,
MAT0005,,,311201,3,Madera para encofrar. de 26 mm de espesor.,,,,0.008,,,m3,455.00,
MAT0006,,,311201,3,Alambre galvanizado para atar. de 1.30 mm de diámetro.,,,,0.100,,,kg,1.50,
MAT0007,,,311201,3,Puntas de acero de 20x100 mm.,,,,0.050,,,kg,8.75,
MAT0008,,,311201,3,Agente desmoldeante. a base de aceites especiales. emulsionable en agua. para encofrados metálicos. fenólicos o de madera.,,,,0.030,,,l,1.80,
O01OA090,,,311201,4,Oficial 1ª encofrador.,,,1,0.325,,,h,22.27,
O01OA091,,,311201,4,Ayudante encofrador.,,,1,0.325,,,h,21.15,
,,,311201,7,Montaje de sistema de encofrado recuperable de madera. para zapata corrida de cimentación de sección rectangular. formado por tablones de madera. amortizables en 10 usos. y posterior desmontaje del sistema de encofrado. Incluso elementos de sustentación. fijación y acodalamientos necesarios para su estabilidad y líquido desencofrante. para evitar la adherencia del hormigón al encofrado.,,,,,,,,,
311202,31,3112,,2,Sistema de encofrado para zapata de cimentación.,,,,1.000,21.62,8,m2,,
MAT0005,,,311202,3,Madera para encofrar. de 26 mm de espesor.,,,,0.006,,,m3,455.00,
MAT0006,,,311202,3,Alambre galvanizado para atar. de 1.30 mm de diámetro.,,,,0.100,,,kg,1.50,
MAT0007,,,311202,3,Puntas de acero de 20x100 mm.,,,,0.050,,,kg,8.75,
MAT0008,,,311202,3,Agente desmoldeante. a base de aceites especiales. emulsionable en agua. para encofrados metálicos. fenólicos o de madera.,,,,0.030,,,l,1.80,
O01OA090,,,311202,4,Oficial 1ª encofrador.,,,,0.370,,,h,22.27,
O01OA091,,,311202,4,Ayudante encofrador.,,,,0.370,,,h,21.15,
,,,311202,7,Montaje de sistema de encofrado recuperable de madera. para zapata de cimentación. formado por tablones de madera. amortizables en 10 usos. y posterior desmontaje del sistema de encofrado. Incluso elementos de sustentación. fijación y acodalamientos necesarios para su estabilidad y líquido desencofrante. para evitar la adherencia del hormigón al encofrado.,,,,,,,,,
014301,01,0143,,2,Relleno en trasdós de elementos de cimentación.,,,,1.000,21.33,8,m3,,
MAT0009,,,014301,3,Agua,,,,0.006,,,m3,1.50,
MAQ0001,,,014301,5,Pisón vibrante de guiado manual. de 80 kg. con placa de 30x30 cm. tipo rana.,,,1,0.375,,,h,4.56,
O01OA070,,,014301,4,Peón ordinario,,,0.42,0.158,,,h,21.15,
,,,014301,7,Relleno en trasdós de elementos de cimentación. con tierra seleccionada procedente de la propia excavación con medios manuales. y compactación en tongadas sucesivas de 30 cm de espesor máximo con pisón vibrante de guiado manual. hasta alcanzar una densidad seca no inferior al 95% de la máxima obtenida en el ensayo Proctor Modificado. realizado según UNE 103501. El precio no incluye la realización del ensayo Proctor Modificado.,,,,,,,,,
041402,04,0414,,2,Hormigón ciclópeo.,,,,1.000,8.08,8,m3,,
MAT0010,,,041402,3,Hormigón HM-20/P/40/X0. fabricado en central.,,,,0.660,,,m3,69.54,
MAT0011,,,041402,3,Bolos de piedra de 15 a 30 cm de diámetro.,,,,0.400,,,m3,19.92,
O01OA080,,,041402,4,Oficial 1ª ,,,0.11,0.110,,,h,22.27,
O01OA070,,,041402,4,Peón ordinario,,,1,0.990,,,h,21.15,
,,,041402,7,Hormigón ciclópeo. realizado con hormigón HM-20/P/40/X0 fabricado en central y vertido desde camión (60% de volumen) y bolos de piedra de 15 a 30 cm de diámetro (40% de volumen). para formación de cimentación.,,,,,,,,,
030101,03,0301,,2,Demolición de muro de ladrillo hueco de fábrica.,,,,1.000,5.33,8,m2,,
O01OA071,,,030101,4,Peón especializado,,,1,1.500,,,h,20.43,
O01OA070,,,030101,4,Peón ordinario,,,1,1.500,,,h,21.15,
,,,030101,7,Demolición de muro de fábrica de ladrillo cerámico hueco. con medios manuales. y carga manual sobre camión o contenedor.,,,,,,,,,
030102,03,0301,,2,Demolición de muro de ladrillo macizo de fábrica.,,,,1.000,2.50,8,m2,,
O01OA071,,,030102,4,Peón especializado,,,1,3.200,,,h,20.43,
O01OA070,,,030102,4,Peón ordinario,,,1,3.200,,,h,21.15,
,,,030102,7,Demolición de muro de fábrica de ladrillo cerámico macizo. con medios manuales. y carga manual sobre camión o contenedor.,,,,,,,,,
